Order,code,name,due_date,category
0,0,SEMI ------------,,
0,145V1000,LGD        F 202401 (  10),2024-01-11,SEMI
0,1BYV1000,LG이노텍   F 202401 (  10),2024-01-11,SEMI
0,150V1000,SK하이닉스 F 202401 (  10),2024-01-11,SEMI
0,1FQV1000,리노공업   F 202401 (  10),2024-01-11,SEMI
0,1EQV1000,비에이치   F 202401 (  10),2024-01-11,SEMI
0,123V1000,삼성전기   F 202401 (  10),2024-01-11,SEMI
0,111V1000,삼성전자   F 202401 (  10),2024-01-11,SEMI
0,1E0V1000,원익IPS    F 202401 (  10),2024-01-11,SEMI
0,1GCV1000,이오테크닉 F 202401 (  10),2024-01-11,SEMI
0,1GEV1000,티씨케이   F 202401 (  10),2024-01-11,SEMI
0,1E3V1000,파트론     F 202401 (  10),2024-01-11,SEMI
1,1,BATTERY ------------,,
1,1F5V1000,LG에너지솔 F 202401 (  10),2024-01-11,BATTERY
1,124V1000,LG전자     F 202401 (  10),2024-01-11,BATTERY
1,147V1000,LG화학     F 202401 (  10),2024-01-11,BATTERY
1,113V1000,POSCO 홀딩 F 202401 (  10),2024-01-11,BATTERY
1,141V1000,SK이노베이 F 202401 (  10),2024-01-11,BATTERY
1,119V1000,기아       F 202401 (  10),2024-01-11,BATTERY
1,122V1000,삼성SDI    F 202401 (  10),2024-01-11,BATTERY
1,1EYV1000,에코프로비 F 202401 (  10),2024-01-11,BATTERY
1,1FMV1000,엘앤에프   F 202401 (  10),2024-01-11,BATTERY
1,1CNV1000,포스코DX   F 202401 (  10),2024-01-11,BATTERY
1,1E8V1000,포스코퓨처 F 202401 (  10),2024-01-11,BATTERY
1,1GFV1000,피엔티     F 202401 (  10),2024-01-11,BATTERY
1,155V1000,한국타이어 F 202401 (  10),2024-01-11,BATTERY
1,116V1000,현대차     F 202401 (  10),2024-01-11,BATTERY
1,156V1000,NAVER      F 202401 (  10),2024-01-11,TECH
2,2,ENERGY & INFRA ------------,,
2,1B2V1000,S-Oil      F 202401 (  10),2024-01-11,ENERGY & INFRA
2,149V1000,HD현대인프 F 202401 (  10),2024-01-11,ENERGY & INFRA
2,1DWV1000,두산밥캣   F 202401 (  10),2024-01-11,ENERGY & INFRA
2,1B9V1000,두산에너빌 F 202401 (  10),2024-01-11,ENERGY & INFRA
2,1FYV1000,두산퓨얼셀 F 202401 (  10),2024-01-11,ENERGY & INFRA
2,1G0V1000,씨에스윈드 F 202401 (  10),2024-01-11,ENERGY & INFRA
2,1CBV1000,한화솔루션 F 202401 (  10),2024-01-11,ENERGY & INFRA
3,3,DEFENSE ------------,,
3,1DBV1000,LIG넥스원  F 202401 (  10),2024-01-11,DEFENSE
3,1BMV1000,한국항공우 F 202401 (  10),2024-01-11,DEFENSE
3,1EVV1000,한화시스템 F 202401 (  10),2024-01-11,DEFENSE
3,1BHV1000,한화에어로 F 202401 (  10),2024-01-11,DEFENSE
3,1G6V1000,현대로템   F 202401 (  10),2024-01-11,DEFENSE
4,4,COSMETICS ------------,,
4,1CRV1000,LG생활건강 F 202401 (  10),2024-01-11,COSMETICS 
4,1DPV1000,메디톡스   F 202401 (  10),2024-01-11,COSMETICS 
4,1CSV1000,아모레G    F 202401 (  10),2024-01-11,COSMETICS 
4,1C6V1000,아모레퍼시 F 202401 (  10),2024-01-11,COSMETICS 
4,1DKV1000,코스맥스   F 202401 (  10),2024-01-11,COSMETICS 
4,1F1V1000,콜마비앤에 F 202401 (  10),2024-01-11,COSMETICS 
4,1GDV1000,클래시스   F 202401 (  10),2024-01-11,COSMETICS 
4,1DEV1000,한국콜마   F 202401 (  10),2024-01-11,COSMETICS 
5,5,BIO ------------,,
5,1ESV1000,삼성바이오 F 202401 (  10),2024-01-11,BIO
5,1F4V1000,삼천당제약 F 202401 (  10),2024-01-11,BIO
5,1CPV1000,셀트리온   F 202401 (  10),2024-01-11,BIO
5,1FPV1000,알테오젠   F 202401 (  10),2024-01-11,BIO
5,1CXV1000,한미약품   F 202401 (  10),2024-01-11,BIO
6,6,SHIP ------------,,
6,139V1000,HD한국조선 F 202401 (  10),2024-01-11,SHIP
6,1FDV1000,HD현대중공 F 202401 (  10),2024-01-11,SHIP
6,1FAV1000,HMM        F 202401 (  10),2024-01-11,SHIP
6,1BFV1000,삼성중공업 F 202401 (  10),2024-01-11,SHIP
6,1EHV1000,팬오션     F 202401 (  10),2024-01-11,SHIP
6,1FVV1000,한화오션   F 202401 (  10),2024-01-11,SHIP
6,1CDV1000,현대미포조 F 202401 (  10),2024-01-11,SHIP
7,7,ENTERT ------------,,
7,1DTV1000,CJ ENM     F 202401 (  10),2024-01-11,ENTERT
7,1EFV1000,JYP Ent.   F 202401 (  10),2024-01-11,ENTERT
7,1E4V1000,에스엠     F 202401 (  10),2024-01-11,ENTERT
7,1CQV1000,와이지엔터 F 202401 (  10),2024-01-11,ENTERT
7,1FCV1000,하이브     F 202401 (  10),2024-01-11,ENTERT
8,8,CONSUMPTION ------------,,
8,1G1V1000,CJ대한통운 F 202401 (  10),2024-01-11,CONSUMPTION
8,1FGV1000,F&F        F 202401 (  10),2024-01-11,CONSUMPTION
8,1C3V1000,금호석유   F 202401 (  10),2024-01-11,CONSUMPTION
8,1DAV1000,농심       F 202401 (  10),2024-01-11,CONSUMPTION
8,1B6V1000,대상       F 202401 (  10),2024-01-11,CONSUMPTION
8,157V1000,대한항공   F 202401 (  10),2024-01-11,CONSUMPTION
8,1DGV1000,영원무역   F 202401 (  10),2024-01-11,CONSUMPTION
8,1FJV1000,오리온     F 202401 (  10),2024-01-11,CONSUMPTION
8,154V1000,이마트     F 202401 (  10),2024-01-11,CONSUMPTION
8,1F6V1000,카카오뱅크 F 202401 (  10),2024-01-11,CONSUMPTION
8,1F7V1000,카카오페이 F 202401 (  10),2024-01-11,CONSUMPTION
8,1DZV1000,한세실업   F 202401 (  10),2024-01-11,CONSUMPTION
8,1BQV1000,호텔신라   F 202401 (  10),2024-01-11,CONSUMPTION
9,9,GAME ------------,,
9,1E5V1000,넷마블     F 202401 (  10),2024-01-11,GAME
9,1BJV1000,엔씨소프트 F 202401 (  10),2024-01-11,GAME
9,1FNV1000,위메이드   F 202401 (  10),2024-01-11,GAME
9,1EXV1000,카카오게임 F 202401 (  10),2024-01-11,GAME
9,1DRV1000,컴투스     F 202401 (  10),2024-01-11,GAME
9,1F8V1000,크래프톤   F 202401 (  10),2024-01-11,GAME
9,1FLV1000,펄어비스   F 202401 (  10),2024-01-11,GAME
